Distance,Image_Path
0.0,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/parasect.png
0.81451815,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/pignite.png
0.8176153,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/golett.png
0.81811166,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/heatmor.png
0.82568157,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/darumaka.png
0.83379334,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/chatot.png
0.84980303,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/spinarak.png
0.8506479,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/porygon.png
0.85263884,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/hoothoot.png
0.8550791,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/weepinbell.png
0.8604072,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/hoopa-confined.png
0.8604527,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/bellossom.png
0.86298203,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/gible.png
0.8634897,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/galvantula.png
0.8642356,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/palpitoad.png
0.8674794,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/croconaw.png
0.86887884,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/swalot.png
0.869331,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/patrat.png
0.8704178,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/porygon2.png
0.8706952,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/pyroar.png
0.87082773,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/paras.png
0.8712997,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/weedle.png
0.87184525,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/cleffa.png
0.8737452,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/volbeat.png
0.8739847,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/psyduck.png
0.87448686,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/phanpy.png
0.8780813,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/joltik.png
0.8828048,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/bibarel.png
0.8832118,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/raticate.png
0.8832813,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/tepig.png
0.8835845,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/sewaddle.png
0.88461083,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/cherrim.png
0.8872902,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/ducklett.png
0.8884638,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/sandshrew.png
0.88890773,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/huntail.png
0.8890919,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/marowak.png
0.8896084,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/azelf.png
0.889721,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/chansey.png
0.8914702,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/togepi.png
0.8923002,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/xatu.png
0.89252234,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/combee.png
0.894937,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/pidgey.png
0.8954772,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/lanturn.png
0.89997524,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/omanyte.png
0.90041155,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/floatzel.png
0.90059865,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/luvdisc.png
0.9015978,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/shroomish.png
0.901964,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/natu.png
0.90280193,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/munna.png
0.90407145,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/manectric.png
0.90479285,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/treecko.png
0.90513206,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/pidove.png
0.9061675,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/lickilicky.png
0.90645576,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/piloswine.png
0.90856206,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/politoed.png
0.9108334,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/timburr.png
0.91100407,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/uxie.png
0.91110486,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/marill.png
0.9119841,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/bonsly.png
0.9121279,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/numel.png
0.9122694,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/ralts.png
0.9126776,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/bidoof.png
0.9133462,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/bulbasaur.png
0.91350204,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/marshtomp.png
0.91584784,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/oshawott.png
0.9169469,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/basculin-red-striped.png
0.9172752,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/finneon.png
0.9174858,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/spiritomb.png
0.91794634,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/makuhita.png
0.9180666,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/shellos.png
0.9183743,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/wynaut.png
0.9188838,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/nidoqueen.png
0.9193177,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/scrafty.png
0.9193782,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/bronzor.png
0.9194414,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/grotle.png
0.91968817,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/ditto.png
0.92052406,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/shinx.png
0.92055845,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/poochyena.png
0.92078394,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/smoochum.png
0.9211829,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/totodile.png
0.92131615,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/flareon.png
0.9214393,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/toxicroak.png
0.92146474,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/taillow.png
0.9216064,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/torchic.png
0.9222253,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/eelektrik.png
0.9226458,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/scraggy.png
0.92272985,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/gurdurr.png
0.9229467,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/heliolisk.png
0.9232778,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/charmander.png
0.9236341,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/venipede.png
0.9265715,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/shelmet.png
0.9267047,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/staryu.png
0.92689055,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/froakie.png
0.9278923,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/heatran.png
0.92816556,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/seaking.png
0.9283514,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/shellder.png
0.9285539,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/buizel.png
0.9292766,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/bagon.png
0.92961174,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/growlithe.png
0.9300788,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/dedenne.png
0.9303311,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/slurpuff.png
0.9305281,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/whimsicott.png
0.9305619,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/luxio.png
0.9305903,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/whirlipede.png
0.930718,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/kricketot.png
0.9307751,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/snover.png
0.9308351,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/ursaring.png
0.93101704,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/dunsparce.png
0.93157816,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/skrelp.png
0.9321004,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/shuppet.png
0.9322364,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/turtwig.png
0.93251705,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/ferroseed.png
0.9331066,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/sandslash.png
0.93390846,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/skuntank.png
0.93404615,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/croagunk.png
0.9341987,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/karrablast.png
0.93502635,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/froslass.png
0.9351634,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/gastly.png
0.9353399,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/roserade.png
0.9354858,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/deino.png
0.9360641,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/quilava.png
0.9365241,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/axew.png
0.93707895,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/emboar.png
0.9374473,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/illumise.png
0.9374911,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/swinub.png
0.9378555,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/snubbull.png
0.9382251,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/chimchar.png
0.9386139,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/rufflet.png
0.9387243,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/blissey.png
0.9392789,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/kabuto.png
0.9398582,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/wurmple.png
0.9403544,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/piplup.png
0.94056535,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/spheal.png
0.9409482,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/pikachu.png
0.9410465,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/inkay.png
0.94112295,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/delibird.png
0.94119006,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/bergmite.png
0.94137734,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/spoink.png
0.94206434,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/luxray.png
0.9421297,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/squirtle.png
0.94241524,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/teddiursa.png
0.94520813,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/monferno.png
0.94597876,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/nidorina.png
0.9479162,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/hariyama.png
0.9480513,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/munchlax.png
0.9486273,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/flaaffy.png
0.94900274,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/feraligatr.png
0.94920486,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/goodra.png
0.95070934,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/gastrodon.png
0.95093256,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/sealeo.png
0.95190156,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/mesprit.png
0.9531841,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/krokorok.png
0.95366234,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/carracosta.png
0.9537042,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/ledyba.png
0.9537682,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/qwilfish.png
0.95397204,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/pansear.png
0.95447826,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/electrike.png
0.9557398,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/relicanth.png
0.9557919,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/slowking.png
0.9559384,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/walrein.png
0.9560665,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/chinchou.png
0.95642364,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/seismitoad.png
0.95907146,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/chikorita.png
0.9593374,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/amoonguss.png
0.9595652,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/shuckle.png
0.96020705,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/servine.png
0.96053493,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/vanillish.png
0.9605825,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/octillery.png
0.9609338,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/regice.png
0.961129,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/gyarados.png
0.96236104,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/magikarp.png
0.962787,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/drifblim.png
0.9631536,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/beldum.png
0.9635673,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/gourgeist-average.png
0.9635897,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/watchog.png
0.9637455,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/arcanine.png
0.9637728,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/banette.png
0.9643656,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/magcargo.png
0.96439934,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/krabby.png
0.96461326,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/magby.png
0.9649637,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/gabite.png
0.9653255,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/foongus.png
0.96596485,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/cubone.png
0.96613306,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/entei.png
0.96666723,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/pidgeotto.png
0.9666982,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/smeargle.png
0.9667545,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/dustox.png
0.9673914,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/charmeleon.png
0.967417,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/slowbro.png
0.96753657,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/riolu.png
0.9676541,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/gloom.png
0.9677819,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/hawlucha.png
0.96784717,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/venusaur.png
0.96811765,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/snorunt.png
0.96835685,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/murkrow.png
0.9683923,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/emolga.png
0.96888614,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/larvesta.png
0.9690265,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/mareep.png
0.9694207,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/skorupi.png
0.97010404,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/zorua.png
0.9701975,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/misdreavus.png
0.9703128,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/cacturne.png
0.9704619,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/litwick.png
0.9705524,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/sneasel.png
0.97070765,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/tentacool.png
0.9709731,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/swampert.png
0.9717127,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/clauncher.png
0.97192043,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/hitmontop.png
0.9719889,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/caterpie.png
0.9721084,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/armaldo.png
0.97217244,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/koffing.png
0.9722657,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/celebi.png
0.97264594,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/spearow.png
0.9727177,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/kingler.png
0.9727262,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/helioptile.png
0.97277737,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/grimer.png
0.972854,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/trapinch.png
0.9731145,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/feebas.png
0.9732492,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/groudon.png
0.97343516,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/slowpoke.png
0.9735273,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/mudkip.png
0.9736472,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/mime-jr.png
0.9736779,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/infernape.png
0.97401947,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/fletchling.png
0.974206,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/azurill.png
0.974238,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/whismur.png
0.97527134,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/lairon.png
0.97566366,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/beautifly.png
0.975848,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/mamoswine.png
0.9758621,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/cottonee.png
0.97594774,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/magnezone.png
0.97598106,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/cresselia.png
0.97686106,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/gliscor.png
0.9769812,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/gothita.png
0.9773553,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/jirachi.png
0.9776286,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/gulpin.png
0.9779776,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/clefairy.png
0.97812873,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/dusclops.png
0.9783212,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/ninjask.png
